Date,Open,High,Low,Close,Adj Close,Volume
3/7/2007,139.589996,140.460007,139.399994,139.559998,108.627121,115144900
3/8/2007,140.539993,141.160004,140.070007,140.740005,109.545578,117891600
3/9/2007,141.309998,141.419998,140.080002,140.779999,109.576736,107765100
3/12/2007,140.419998,141.339996,140.160004,140.990005,109.740166,80366900
3/13/2007,140.179993,140.770004,138.039993,138.25,107.60746,190605200
3/14/2007,138.429993,139.360001,136.75,139.279999,108.409187,231853800
3/15/2007,138.970001,139.990005,138.800003,139.470001,108.557098,132435900
3/16/2007,139.309998,139.630005,138.119995,138.529999,108.253105,121531600
3/19/2007,139.259995,140.330002,139.149994,140.199997,109.558098,96161200
3/20/2007,140.080002,141.050003,139.960007,140.970001,110.159843,82147400
3/21/2007,141.100006,143.649994,140.820007,143.289993,111.97271,152368700
3/22/2007,143.479996,143.679993,142.789993,143.179993,111.886803,118942200
3/23/2007,143.279999,143.809998,143.149994,143.389999,112.050896,74416800
3/26/2007,143.5,143.649994,142.089996,143.199997,111.902405,113787500
3/27/2007,143.119995,143.160004,142.389999,142.860001,111.636742,99864600
3/28/2007,142.139999,142.470001,141.259995,141.820007,110.824043,152907900
3/29/2007,142.539993,142.610001,141.190002,141.970001,110.941254,139432700
3/30/2007,142.240005,142.839996,140.559998,142,110.964714,128194100
4/2/2007,142.160004,142.460007,141.479996,142.160004,111.089722,79416400
4/3/2007,142.970001,143.979996,142.910004,143.690002,112.28537,82417800
4/4/2007,143.690002,143.949997,143.160004,143.850006,112.41037,63995200
4/5/2007,143.669998,144.440002,143.610001,144.240005,112.715118,46822800
4/9/2007,144.649994,144.800003,144.149994,144.440002,112.871437,50967400
4/10/2007,144.330002,144.850006,144.270004,144.610001,113.004257,56620000
4/11/2007,144.820007,144.860001,143.539993,144.020004,112.543228,106365700
4/12/2007,143.740005,144.919998,143.339996,144.660004,113.04332,115534400
4/13/2007,144.899994,145.320007,144.360001,145.320007,113.559128,84287000
4/16/2007,145.830002,146.860001,145.820007,146.699997,114.637421,83064600
4/17/2007,146.970001,147.399994,146.649994,147.089996,114.942261,108424100
4/18/2007,146.600006,147.699997,146.570007,147.270004,115.082893,88345300
4/19/2007,146.550003,147.399994,146.360001,147.229996,115.051636,102947700
4/20/2007,148.220001,148.619995,147.039993,148.619995,116.137764,124114100
4/23/2007,148.369995,148.729996,147.970001,148.059998,115.700211,77270800
4/24/2007,148.229996,148.399994,147.320007,148.119995,115.747139,114471000
4/25/2007,148.729996,149.660004,148.020004,149.479996,116.809875,108418800
4/26/2007,149.490005,149.800003,149.100006,149.649994,116.942734,88741600
4/27/2007,149.089996,149.740005,148.839996,149.529999,116.848915,108191100
4/30/2007,149.639999,149.740005,148.210007,148.289993,115.879951,100874100
5/1/2007,148.419998,149.470001,147.669998,148.669998,116.176926,134342700
5/2/2007,148.899994,149.949997,148.75,149.539993,116.856773,87129800
5/3/2007,149.970001,150.399994,149.729996,150.350006,117.489746,86569700
5/4/2007,150.75,151.119995,150.220001,150.919998,117.935158,96409000
5/7/2007,150.880005,151.199997,150.809998,150.949997,117.95858,63461400
5/8/2007,150.580002,150.919998,150.130005,150.75,117.802277,80584000
5/9/2007,150.639999,152.820007,150.369995,151.160004,118.122719,102070100
5/10/2007,150.729996,151.020004,149.270004,149.580002,116.888031,153617800
5/11/2007,149.75,150.929993,149.720001,150.860001,117.888306,113408900
5/14/2007,150.860001,151.300003,149.789993,150.529999,117.630386,108027500
5/15/2007,150.699997,151.660004,150.190002,150.570007,117.661674,180673300
5/16/2007,150.800003,151.630005,150.380005,151.600006,118.466515,114166500
5/17/2007,151.380005,151.960007,151.110001,151.300003,118.232109,101132800
5/18/2007,152.009995,152.619995,151.809998,152.619995,119.263611,99182000
5/21/2007,152.580002,153.229996,152.5,152.539993,119.201111,174664600
5/22/2007,152.699997,153.160004,152.380005,152.419998,119.107292,82148800
5/23/2007,152.949997,153.5,152.360001,152.440002,119.12294,133786600
5/24/2007,152.529999,153.210007,150.740005,151.059998,118.044579,187593000
5/25/2007,151.5,152.020004,151.179993,151.690002,118.536858,83309200
5/29/2007,151.940002,152.5,151.449997,152.240005,118.966675,82020000
5/30/2007,151.460007,153.539993,151.339996,153.479996,119.935654,129013600
5/31/2007,153.669998,153.889999,153.119995,153.320007,119.810585,114866700
6/1/2007,153.880005,154.399994,153.509995,154.080002,120.404518,107771700
6/4/2007,153.539993,154.389999,153.479996,154.100006,120.42012,78008800
6/5/2007,153.740005,153.899994,152.860001,153.490005,119.943459,126917900
6/6/2007,152.860001,152.949997,151.75,151.839996,118.654083,164096800
6/7/2007,151.559998,152.5,149.059998,149.100006,116.512939,232414600
6/8/2007,149.580002,151.190002,149.089996,151.039993,118.028915,175886000
6/11/2007,150.929993,151.949997,150.699997,151.300003,118.232109,102015600
6/12/2007,150.669998,151.539993,149.550003,149.649994,116.942734,233898000
6/13/2007,150.5,152.070007,149.720001,151.889999,118.693192,193208200
6/14/2007,152.059998,153.119995,152.029999,152.860001,119.451096,146396500
6/15/2007,153.139999,153.660004,152.929993,153.070007,120.130768,154030800
6/18/2007,153.380005,153.389999,152.660004,152.889999,119.989502,88537500
6/19/2007,152.550003,153.380005,152.360001,153.270004,120.287758,110851700
6/20/2007,153.580002,153.580002,150.960007,151.139999,118.616119,177119700
6/21/2007,151.080002,152.110001,150.25,151.979996,119.275345,205262000
6/22/2007,151.520004,151.770004,149.850006,150.550003,118.153076,204964700
6/25/2007,150.240005,151.25,149.020004,149.830002,117.588005,232014400
6/26/2007,150.210007,150.460007,148.279999,148.289993,116.379402,198445700
6/27/2007,148.130005,150.570007,148.059998,150.399994,118.035339,213638000
6/28/2007,150.380005,151.410004,149.669998,150.380005,118.019676,157705000
6/29/2007,150.899994,151.649994,149.149994,150.429993,118.058899,199701800
7/2/2007,150.869995,151.919998,150.770004,151.789993,119.126213,103357000
7/3/2007,152.179993,152.5,151.990005,152.339996,119.557838,54048400
7/5/2007,152.399994,152.559998,151.630005,152.179993,119.432327,89279000
7/6/2007,152.380005,153.169998,151.929993,152.979996,120.060173,81109000
7/9/2007,153.160004,153.360001,152.619995,153.100006,120.154335,72348100
7/10/2007,152.289993,152.610001,150.770004,150.919998,118.443474,180362600
7/11/2007,150.75,152.050003,150.520004,151.990005,119.283173,175607600
7/12/2007,152.369995,154.75,152.339996,154.389999,121.166748,133882500
7/13/2007,154.570007,155.460007,154.389999,154.850006,121.527794,111794300
7/16/2007,154.990005,155.529999,154.580002,154.830002,121.511993,98378700
7/17/2007,154.929993,155.479996,154.679993,154.75,121.449242,126201300
7/18/2007,154.229996,154.800003,153.300003,154.470001,121.229523,237887400
7/19/2007,155.199997,155.529999,154.75,155.070007,121.700401,145212700
7/20/2007,154.889999,154.990005,152.830002,153.5,120.468277,245502500
